Qty, PROD_ID, Names, Value, Package
1, CAP-00810, C1, 0.1uF, 0603
1, CAP-07880, C2, 4.7pF, 0603
1, DIO-00819, D1, RED, LED-0603
2, CONN-13694, J1; J2, Qwiic, JST04_1MM_RA
1, CONN-08437, J3, , 1X06_NO_SILK
2, RES-08272, R1; R2, 2.2k, 0603
1, RES-07856, R3, 1k, 0603
1, RES-00824, R4, 10k, 0603
1, IC-16315, U1, ST25DV64KC, SO08
